episode,cut_point,e2e_ms,map50,reward,epsilon,ratios,bits
197,2,9234.9,0.3571,0.3494,0.05,0.3190;0.2506,8;7
198,2,5451.8,0.3746,0.5622,0.05,0.2879;0.5326,7;10
199,2,5610.3,0.3737,0.48,0.05,0.2593;0.4470,7;9
200,2,5571.6,0.3696,0.5638,0.05,0.3796;0.4665,9;10
201,8,5502.6,0.3711,0.5422,0.05,0.5068;0.4655;0.3900;0.2787;0.4283;0.4056;0.5450;0.6220,10;10;9;7;9;9;11;11
202,2,8967.6,0.3571,0.3963,0.05,0.3741;0.2698,8;7
203,2,5545.5,0.3715,0.4917,0.05,0.3067;0.4254,8;9
204,2,5710.9,0.3737,0.4618,0.05,0.2631;0.4169,7;9
205,2,5544.8,0.3726,0.5724,0.05,0.3089;0.5360,8;10
206,2,8931.0,0.3571,0.3255,0.05,0.3176;0.2140,8;7
207,2,9158.2,0.371,0.3993,0.05,0.3846;0.2135,9;7
208,2,5624.0,0.3743,0.4939,0.05,0.3691;0.3541,8;8
209,2,5666.0,0.373,0.6064,0.05,0.4373;0.4539,9;9
210,2,7839.0,0.3585,0.4035,0.05,0.4457;0.2038,9;6
211,2,5516.4,0.3713,0.665,0.05,0.6191;0.3654,11;8
212,2,9059.6,0.3701,0.5454,0.05,0.5535;0.2624,11;7
213,2,5419.3,0.373,0.5604,0.05,0.4285;0.3961,9;9
214,2,5355.0,0.3734,0.745,0.05,0.4751;0.6142,10;11
215,2,5594.0,0.3746,0.4917,0.05,0.2436;0.4760,7;10
216,2,5503.8,0.3747,0.6685,0.05,0.4730;0.4984,10;10
217,2,5489.5,0.3734,0.7388,0.05,0.5092;0.5710,10;11
218,2,5425.3,0.3696,0.5956,0.05,0.4302;0.4628,9;10
219,2,5258.7,0.37,0.5371,0.05,0.4379;0.3665,9;8
220,2,5517.4,0.3734,0.6934,0.05,0.4630;0.5518,10;11
221,2,5561.5,0.3734,0.7303,0.05,0.5029;0.5650,10;11
222,2,5034.5,0.3691,0.691,0.05,0.3976;0.6398,9;12
223,2,5348.1,0.3728,0.6807,0.05,0.5787;0.4207,11;9
224,2,5502.4,0.3726,0.5682,0.05,0.3619;0.4765,8;10
225,2,5610.9,0.3726,0.5878,0.05,0.3407;0.5262,8;10
226,2,5054.1,0.37,0.4721,0.05,0.3922;0.3166,9;8
227,2,5325.8,0.3696,0.6559,0.05,0.4478;0.5342,9;10
228,2,5383.1,0.3742,0.6554,0.05,0.5125;0.4429,10;9
229,2,5437.7,0.3696,0.6384,0.05,0.4419;0.5141,9;10
230,2,5555.3,0.3743,0.463,0.05,0.3079;0.3712,8;8
231,2,5796.1,0.3696,0.6314,0.05,0.4063;0.5396,9;10
232,2,5234.2,0.37,0.5154,0.05,0.4210;0.3516,9;8
233,2,9152.8,0.371,0.4871,0.05,0.4539;0.2724,9;7
234,2,5470.5,0.3743,0.4894,0.05,0.3635;0.3532,8;8
235,2,5348.9,0.3747,0.6444,0.05,0.4736;0.4632,10;10
236,2,5460.6,0.3715,0.5408,0.05,0.3632;0.4404,8;9
237,2,5560.6,0.3708,0.5427,0.05,0.4608;0.3480,10;8
238,2,5447.9,0.373,0.5282,0.05,0.3997;0.3784,9;9
239,2,9899.0,0.3541,0.2631,0.05,0.1996;0.2413,6;7
240,2,5315.5,0.3742,0.6091,0.05,0.4959;0.3929,10;9
241,2,9216.6,0.3701,0.5521,0.05,0.5475;0.2782,11;7
242,2,5086.9,0.37,0.5354,0.05,0.4402;0.3618,9;8
243,2,5391.3,0.3715,0.5434,0.05,0.3496;0.4580,8;9
244,2,5514.7,0.37,0.5151,0.05,0.4125;0.3597,9;8
245,2,5598.7,0.3728,0.6947,0.05,0.6175;0.4019,11;9
246,2,5446.2,0.3728,0.6555,0.05,0.5541;0.4088,11;9
247,2,9358.8,0.3569,0.3281,0.05,0.2779;0.2586,7;7
248,2,5727.3,0.378,0.7576,0.05,0.5947;0.4835,11;10
249,2,5357.1,0.378,0.7451,0.05,0.5653;0.4954,11;10
250,2,5500.7,0.3696,0.6068,0.05,0.4403;0.4691,9;10
251,2,5280.4,0.3746,0.531,0.05,0.2723;0.5036,7;10
252,2,5161.2,0.3734,0.8538,0.05,0.6006;0.6456,11;12
253,2,5443.5,0.373,0.5996,0.05,0.4281;0.4533,9;9
254,2,5774.1,0.3747,0.6637,0.05,0.4655;0.4991,10;10
255,2,5518.7,0.37,0.5245,0.05,0.4490;0.3368,9;8
256,2,5591.7,0.3728,0.651,0.05,0.5523;0.4040,11;9
257,2,5664.2,0.37,0.4681,0.05,0.4001;0.3027,9;8
258,2,5476.4,0.378,0.7722,0.05,0.5992;0.4995,11;10
259,2,5509.2,0.3742,0.601,0.05,0.5007;0.3764,10;9
260,2,5154.9,0.3694,0.6664,0.05,0.3999;0.5991,9;11
261,2,5378.0,0.3696,0.5679,0.05,0.3922;0.4599,9;10
262,2,5033.2,0.37,0.5411,0.05,0.4406;0.3698,9;8
263,2,5426.1,0.3694,0.6447,0.05,0.3971;0.5698,9;11
264,2,5362.0,0.3747,0.6981,0.05,0.5199;0.4936,10;10
265,2,5352.6,0.3742,0.6328,0.05,0.4904;0.4326,10;9
266,2,9067.3,0.3696,0.4753,0.05,0.5024;0.2123,10;7
267,2,5118.9,0.3694,0.6651,0.05,0.4249;0.5719,9;11
268,20,6245.7,0.3626,0.3156,0.05,0.4311;0.2587;0.1264;0.3841;0.5037;0.3993;0.5824;0.3084;0.1805;0.2975;0.4093;0.4256;0.4485;0.3995;0.3697;0.2784;0.4880;0.3392;0.2333;0.5509,9;7;6;9;10;9;11;8;6;8;9;9;9;9;8;7;10;8;7;11
269,11,4081.5,0.3734,0.4539,0.05,0.3293;0.5225;0.4010;0.2827;0.2832;0.4640;0.3513;0.3861;0.4122;0.4146;0.3573,8;10;9;7;7;10;8;9;9;9;8
270,2,5477.8,0.37,0.5352,0.05,0.4322;0.3694,9;8
271,2,5367.6,0.3745,0.8075,0.05,0.6787;0.4923,12;10
272,2,5488.6,0.373,0.594,0.05,0.4483;0.4248,9;9
273,2,5708.8,0.3746,0.5042,0.05,0.2389;0.4987,7;10
274,2,5360.1,0.3734,0.7037,0.05,0.4741;0.5555,10;11
275,2,5571.8,0.3713,0.6147,0.05,0.5706;0.3407,11;8
276,2,5582.1,0.37,0.5028,0.05,0.4548;0.2989,9;8
277,2,9176.9,0.371,0.4561,0.05,0.4017;0.2795,9;7
278,2,5475.9,0.373,0.5785,0.05,0.4426;0.4081,9;9
279,22,5939.4,0.359,0.2894,0.05,0.1295;0.5339;0.5261;0.4991;0.4538;0.3438;0.3928;0.6837;0.2717;0.3485;0.1158;0.4104;0.3257;0.4556;0.2828;0.3197;0.2412;0.2584;0.3606;0.2271;0.4278;0.4877,6;10;10;10;9;8;9;12;7;8;5;9;8;9;7;8;7;7;8;7;9;10
280,11,4248.8,0.3569,0.397,0.05,0.2517;0.2831;0.4357;0.4755;0.4637;0.4849;0.1918;0.3769;0.3011;0.4803;0.3940,7;7;9;10;10;10;6;9;8;10;9
281,2,5477.1,0.372,0.5924,0.05,0.3065;0.5701,8;11
282,2,5558.2,0.373,0.5738,0.05,0.4181;0.4260,9;9
283,2,5305.8,0.3733,0.7806,0.05,0.5858;0.5550,11;11
284,2,5405.7,0.37,0.5384,0.05,0.4323;0.3740,9;8
285,2,6287.4,0.3742,0.6526,0.05,0.5375;0.4137,10;9
286,2,5817.8,0.372,0.6577,0.05,0.3576;0.6140,8;11
287,2,10086.7,0.3541,0.2463,0.05,0.1700;0.2440,6;7
288,2,5462.3,0.3694,0.6825,0.05,0.4420;0.5805,9;11
289,2,5322.9,0.3742,0.5949,0.05,0.4651;0.4035,10;9
290,2,5285.1,0.3747,0.6586,0.05,0.4589;0.4983,10;10
291,2,5546.6,0.3743,0.4183,0.05,0.3120;0.3027,8;8
292,2,5639.5,0.3743,0.4949,0.05,0.3693;0.3554,8;8
293,2,5705.8,0.373,0.558,0.05,0.3871;0.4343,9;9
294,2,5392.4,0.3747,0.6386,0.05,0.4614;0.4671,10;10
295,2,5595.2,0.3742,0.6338,0.05,0.4864;0.4381,10;9
296,2,5864.4,0.372,0.6005,0.05,0.3323;0.5559,8;11
297,2,9386.0,0.371,0.4901,0.05,0.4560;0.2747,9;7
298,2,5234.8,0.372,0.6247,0.05,0.3630;0.5604,8;11
299,2,5536.3,0.3708,0.5617,0.05,0.4693;0.3674,10;8
300,2,5807.9,0.37,0.5228,0.05,0.4143;0.3692,9;8
301,2,7142.4,0.3733,0.531,0.05,0.6025;0.1770,11;6
302,2,5381.2,0.3696,0.6032,0.05,0.3783;0.5261,9;10
303,2,6256.0,0.3726,0.5568,0.05,0.3457;0.4762,8;10
304,2,6329.3,0.3742,0.6685,0.05,0.5263;0.4478,10;9
305,2,6493.5,0.3728,0.6616,0.05,0.5588;0.4130,11;9
306,2,6517.3,0.3728,0.7293,0.05,0.6126;0.4571,11;9
307,2,6002.9,0.3737,0.4219,0.05,0.2262;0.3963,7;9
308,2,5563.2,0.37,0.5139,0.05,0.4004;0.3700,9;8
309,2,5950.5,0.373,0.5829,0.05,0.4086;0.4486,9;9
310,2,6441.2,0.3734,0.7259,0.05,0.4654;0.5964,10;11
311,2,5617.8,0.3745,0.7664,0.05,0.6412;0.4708,12;10
312,2,5657.3,0.373,0.6126,0.05,0.4466;0.4536,9;9
313,2,5695.7,0.3737,0.4834,0.05,0.2774;0.4337,7;9
314,2,6473.6,0.373,0.5776,0.05,0.4269;0.4225,9;9
315,2,12000.0,0.3571,0.3685,0.05,0.3508;0.2490,8;7
316,2,6923.4,0.3743,0.43,0.05,0.3088;0.3228,8;8
317,2,6585.0,0.3713,0.6438,0.05,0.6040;0.3496,11;8
318,2,6374.4,0.3696,0.6311,0.05,0.4369;0.5085,9;10
319,2,6560.0,0.37,0.5305,0.05,0.4202;0.3747,9;8
320,6,6408.0,0.3727,0.5876,0.05,0.6008;0.5537;0.3947;0.3794;0.5317;0.3812,11;11;9;9;10;9
321,2,6379.3,0.3726,0.5758,0.05,0.3728;0.4766,8;10
322,2,6264.4,0.3691,0.7233,0.05,0.4309;0.6542,9;12
323,22,6806.8,0.3757,0.3661,0.05,0.3196;0.4026;0.6098;0.4280;0.5066;0.4666;0.4278;0.3554;0.3774;0.3803;0.2852;0.3811;0.3346;0.3653;0.3117;0.2915;0.2211;0.6784;0.2991;0.3899;0.4154;0.5172,8;9;11;9;10;10;9;8;9;9;7;9;8;8;8;7;7;12;8;9;9;10
324,11,5177.8,0.3715,0.494,0.05,0.2444;0.6300;0.4135;0.3881;0.4160;0.4115;0.3118;0.4142;0.4464;0.5531;0.4042,7;12;9;9;9;9;8;9;9;11;9
325,2,6454.2,0.3737,0.4989,0.05,0.2808;0.4527,7;9
326,22,12000.0,0.3665,0.3,0.05,0.3701;0.3487;0.4700;0.3601;0.5855;0.5292;0.3886;0.2745;0.2065;0.5089;0.3201;0.2490;0.4427;0.3421;0.4080;0.1914;0.2486;0.3383;0.4597;0.3797;0.1821;0.2333,8;8;10;8;11;10;9;7;6;10;8;7;9;8;9;6;7;8;10;9;6;7
327,11,4979.9,0.3705,0.4447,0.05,0.2769;0.3464;0.3464;0.4495;0.3935;0.2939;0.3373;0.4321;0.4791;0.4533;0.3952,7;8;8;9;9;8;8;9;10;9;9
328,2,6411.6,0.3735,0.8305,0.05,0.6581;0.5536,12;11
329,2,12000.0,0.371,0.4046,0.05,0.3908;0.2149,9;7
330,2,6249.4,0.3743,0.4572,0.05,0.3590;0.3114,8;8
331,2,6383.1,0.3651,0.3948,0.05,0.2014;0.4120,6;9
332,2,6269.8,0.3746,0.5549,0.05,0.2876;0.5224,7;10
333,2,6234.6,0.3734,0.7284,0.05,0.4784;0.5868,10;11
334,2,6827.5,0.3708,0.5611,0.05,0.5113;0.3241,10;8
335,2,6106.8,0.3734,0.7311,0.05,0.4786;0.5906,10;11
336,2,6416.9,0.3715,0.4922,0.05,0.3554;0.3771,8;9
337,2,6381.4,0.3745,0.78,0.05,0.6411;0.4905,12;10
338,2,6573.1,0.3743,0.4378,0.05,0.3369;0.3057,8;8
339,2,6437.5,0.3696,0.6,0.05,0.4327;0.4667,9;10
340,2,6545.5,0.3708,0.5604,0.05,0.4667;0.3680,10;8
341,2,12000.0,0.371,0.4531,0.05,0.4568;0.2196,9;7
342,2,6437.6,0.3734,0.7371,0.05,0.4822;0.5956,10;11
343,1,6739.5,0.3691,0.5124,0.05,0.4444,9
344,2,6256.2,0.3696,0.6129,0.05,0.4291;0.4894,9;10
345,15,6435.8,0.3674,0.3166,0.05,0.2611;0.3418;0.2650;0.4716;0.3941;0.4904;0.4126;0.2302;0.4120;0.4212;0.1291;0.3063;0.4719;0.3516;0.6096,7;8;7;10;9;10;9;7;9;9;6;8;10;8;11
346,11,4936.9,0.3659,0.493,0.05,0.4114;0.4652;0.3707;0.3945;0.6456;0.3732;0.4255;0.3994;0.3500;0.3910;0.5690,9;10;8;9;12;8;9;9;8;9;11
347,2,8354.0,0.3733,0.7939,0.05,0.5876;0.5724,11;11
348,2,12000.0,0.371,0.4217,0.05,0.3805;0.2504,9;7
349,2,6399.3,0.3708,0.5526,0.05,0.4838;0.3393,10;8
350,2,5941.9,0.3708,0.5143,0.05,0.4605;0.3066,10;8
351,2,7093.6,0.373,0.5569,0.05,0.4328;0.3867,9;9
352,2,6836.9,0.378,0.7238,0.05,0.5678;0.4630,11;10
353,2,6776.2,0.373,0.5617,0.05,0.3915;0.4351,9;9
354,2,7226.1,0.3715,0.5122,0.05,0.3740;0.3877,8;9
355,2,6284.5,0.3746,0.5125,0.05,0.2466;0.5028,7;10
356,2,6609.1,0.3715,0.5228,0.05,0.3297;0.4477,8;9
357,2,6606.9,0.373,0.5638,0.05,0.3786;0.4513,9;9
358,2,8536.2,0.3329,0.304,0.05,0.4493;0.1233,9;5
359,2,6396.9,0.372,0.6123,0.05,0.3241;0.5815,8;11
360,2,6906.3,0.3715,0.4914,0.05,0.3297;0.4018,8;9
361,2,6912.1,0.3743,0.4168,0.05,0.2991;0.3136,8;8
362,2,5478.9,0.373,0.5628,0.05,0.3949;0.4334,9;9
363,2,5934.1,0.3696,0.5857,0.05,0.4031;0.4752,9;10
364,2,5589.9,0.3742,0.6658,0.05,0.5202;0.4501,10;9
365,23,6181.2,0.3613,0.3155,0.05,0.4888;0.3361;0.5585;0.0500;0.3856;0.5219;0.3705;0.3927;0.4317;0.4307;0.2507;0.3833;0.4854;0.2526;0.3641;0.2548;0.3677;0.4605;0.3379;0.3875;0.4535;0.4236;0.4037,10;8;11;5;9;10;8;9;9;9;7;9;10;7;8;7;8;10;8;9;9;9;9
366,11,4575.4,0.3686,0.4673,0.05,0.4837;0.4009;0.4260;0.3734;0.4062;0.3731;0.4435;0.3709;0.4196;0.3828;0.3857,10;9;9;8;9;8;9;8;9;9;9
367,2,5927.2,0.373,0.5617,0.05,0.3819;0.4448,9;9
368,2,6821.1,0.3642,0.4073,0.05,0.2609;0.3743,7;8
369,2,11592.0,0.3696,0.5151,0.05,0.5087;0.2649,10;7
370,2,6736.0,0.3728,0.6695,0.05,0.5489;0.4344,11;9
371,2,12000.0,0.3571,0.3809,0.05,0.3734;0.2460,8;7
372,2,6221.9,0.3734,0.717,0.05,0.4625;0.5864,10;11
373,2,6148.3,0.3742,0.6402,0.05,0.5019;0.4317,10;9
374,2,6192.6,0.37,0.5017,0.05,0.3849;0.3676,9;8
375,2,6473.7,0.373,0.6134,0.05,0.4455;0.4558,9;9
376,11,4718.7,0.3741,0.4645,0.05,0.3488;0.3167;0.3966;0.3919;0.2802;0.2779;0.4601;0.4663;0.5579;0.4139;0.3684,8;8;9;9;7;7;10;10;11;9;8
377,2,6276.5,0.373,0.5794,0.05,0.4416;0.4104,9;9
378,2,6226.2,0.3696,0.6191,0.05,0.4303;0.4973,9;10
379,1,5763.6,0.3691,0.4721,0.05,0.4102,9
380,2,5799.9,0.3737,0.4397,0.05,0.2481;0.4001,7;9
381,2,9959.1,0.3696,0.4721,0.05,0.4985;0.2116,10;7
382,2,5922.8,0.3694,0.6483,0.05,0.3906;0.5815,9;11
383,2,5865.9,0.37,0.4928,0.05,0.3922;0.3472,9;8
384,2,5849.1,0.3708,0.5655,0.05,0.4729;0.3693,10;8
385,2,9777.0,0.3761,0.3924,0.05,0.3692;0.2017,8;6
386,2,6298.7,0.3696,0.5632,0.05,0.3830;0.4623,9;10
387,2,6811.4,0.378,0.7728,0.05,0.6132;0.4863,11;10
388,2,6199.6,0.3715,0.5298,0.05,0.3559;0.4317,8;9
389,2,6246.3,0.3713,0.6136,0.05,0.5665;0.3432,11;8
390,2,5535.7,0.3734,0.7166,0.05,0.4644;0.5839,10;11
391,2,5713.6,0.3742,0.6445,0.05,0.5221;0.4174,10;9
392,2,5939.7,0.373,0.5605,0.05,0.3814;0.4436,9;9
393,2,5821.7,0.373,0.5927,0.05,0.4312;0.4402,9;9
394,2,5684.1,0.373,0.5833,0.05,0.4191;0.4387,9;9
395,2,6111.0,0.3708,0.5868,0.05,0.5059;0.3673,10;8
396,2,10011.8,0.3701,0.5452,0.05,0.5543;0.2611,11;7
397,2,5745.2,0.3743,0.4442,0.05,0.2980;0.3540,8;8
398,1,5908.1,0.3691,0.4876,0.05,0.4234,9
399,2,5469.1,0.3708,0.5556,0.05,0.5291;0.2982,10;8
