episode,cut_point,e2e_ms,map50,reward,epsilon,ratios,bits
18,17,5664.2,0.3727,0.4327,0.2479,0.4611;0.4794;0.3615;0.5303;0.4055;0.4544;0.3585;0.6042;0.5011;0.2196;0.3243;0.4065;0.5671;0.4259;0.3332;0.5101;0.4457,10;10;8;10;9;9;8;11;10;7;8;9;11;9;8;10;9
19,22,5310.4,0.3707,0.3688,0.2454,0.5066;0.3669;0.3986;0.4835;0.4629;0.5667;0.3931;0.2200;0.4079;0.4170;0.2799;0.3124;0.3230;0.4672;0.3363;0.5380;0.2406;0.5370;0.4845;0.6169;0.4978;0.3517,10;8;9;10;10;11;9;7;9;9;7;8;8;10;8;10;7;10;10;11;10;8
20,22,5412.7,0.3711,0.3612,0.2429,0.4505;0.4166;0.5066;0.4369;0.3631;0.3583;0.5404;0.5098;0.3808;0.2957;0.3834;0.5206;0.2586;0.5326;0.3736;0.3849;0.4059;0.3904;0.4151;0.4747;0.3063;0.3287,9;9;10;9;8;8;10;10;9;8;9;10;7;10;8;9;9;9;9;10;8;8
21,22,12000.0,0.3729,0.3784,0.2405,0.3815;0.3896;0.5153;0.4852;0.4661;0.4701;0.2330;0.4682;0.4673;0.5200;0.5462;0.4340;0.4049;0.3031;0.6041;0.4861;0.3254;0.2577;0.4702;0.3573;0.3390;0.2870,9;9;10;10;10;10;7;10;10;10;11;9;9;8;11;10;8;7;10;8;8;7
22,23,6095.4,0.3634,0.3462,0.2381,0.1727;0.4744;0.4729;0.5057;0.3859;0.4422;0.4594;0.4753;0.3398;0.4892;0.3492;0.4391;0.2535;0.3496;0.5032;0.4331;0.4298;0.4869;0.3449;0.2804;0.4120;0.6036;0.4305,6;10;10;10;9;9;10;10;8;10;8;9;7;8;10;9;9;10;8;7;9;11;9
23,22,6009.4,0.3714,0.3801,0.2357,0.3382;0.4110;0.4110;0.4940;0.5942;0.3869;0.4901;0.4293;0.2569;0.3798;0.2760;0.4321;0.4041;0.5821;0.4742;0.6781;0.2604;0.1987;0.5533;0.4457;0.4905;0.3827,8;9;9;10;11;9;10;9;7;9;7;9;9;11;10;12;7;6;11;9;10;9
24,22,5433.4,0.3738,0.376,0.2333,0.5192;0.3127;0.3310;0.4199;0.2696;0.4439;0.5067;0.4548;0.4705;0.5131;0.6773;0.3271;0.4637;0.3677;0.3270;0.4107;0.4399;0.3296;0.4142;0.2891;0.4801;0.3305,10;8;8;9;7;9;10;9;10;10;12;8;10;8;8;9;9;8;9;7;10;8
25,22,5907.3,0.3719,0.3768,0.231,0.3688;0.6606;0.4765;0.4970;0.4795;0.3812;0.3793;0.4978;0.4899;0.3882;0.3382;0.3323;0.4364;0.3851;0.3223;0.3830;0.5181;0.2162;0.5005;0.3634;0.4990;0.4395,8;12;10;10;10;9;9;10;10;9;8;8;9;9;8;9;10;7;10;8;10;9
26,22,5995.4,0.37,0.3493,0.2287,0.5866;0.5010;0.4530;0.5251;0.3894;0.3190;0.3563;0.3800;0.3858;0.3682;0.3117;0.4509;0.3663;0.5168;0.2498;0.4353;0.2788;0.3830;0.4642;0.3861;0.2198;0.4319,11;10;9;10;9;8;8;9;9;8;8;9;8;10;7;9;7;9;10;9;7;9
27,22,6148.6,0.3691,0.3476,0.2264,0.5077;0.3347;0.3189;0.5709;0.4175;0.2132;0.3150;0.1794;0.4983;0.4292;0.5635;0.1789;0.4551;0.4881;0.4461;0.5990;0.3782;0.2648;0.2362;0.5067;0.3408;0.5272,10;8;8;11;9;7;8;6;10;9;11;6;9;10;9;11;9;7;7;10;8;10
28,22,6161.3,0.3778,0.3734,0.2242,0.3801;0.4968;0.3729;0.3225;0.4688;0.4007;0.4107;0.4815;0.4164;0.3079;0.4480;0.1733;0.6042;0.3250;0.3905;0.2899;0.2844;0.2985;0.4975;0.3693;0.4330;0.5193,9;10;8;8;10;9;9;10;9;8;9;6;11;8;9;7;7;8;10;8;9;10
29,11,4303.8,0.349,0.4443,0.2219,0.0990;0.4691;0.5613;0.5401;0.6111;0.4629;0.5554;0.3540;0.4151;0.4100;0.4230,5;10;11;10;11;10;11;8;9;9;9
30,7,5288.8,0.3681,0.5255,0.2197,0.3937;0.5132;0.3028;0.5623;0.4405;0.2948;0.5733,9;10;8;11;9;8;11
31,2,5712.9,0.3715,0.5208,0.2175,0.3745;0.3997,8;9
32,11,12000.0,0.3705,0.4672,0.2153,0.4090;0.4771;0.4818;0.4148;0.3372;0.4185;0.3978;0.4906;0.4545;0.3118;0.2289,9;10;10;9;8;9;9;10;9;8;7
33,11,12000.0,0.3725,0.5067,0.2132,0.5823;0.4852;0.4324;0.4934;0.4846;0.3769;0.5385;0.3595;0.2859;0.4165;0.2631,11;10;9;10;10;9;10;8;7;9;7
34,11,9446.5,0.3802,0.5232,0.211,0.5767;0.4447;0.3612;0.3836;0.5383;0.4656;0.5313;0.5090;0.4114;0.2623;0.1492,11;9;8;9;10;10;10;10;9;7;6
35,11,4270.8,0.3721,0.4669,0.2089,0.3865;0.3083;0.4181;0.4711;0.4518;0.3751;0.3290;0.2686;0.4891;0.4428;0.4277,9;8;9;10;9;9;8;7;10;9;9
36,11,4388.2,0.3687,0.4685,0.2068,0.5419;0.2398;0.4728;0.3588;0.4399;0.4790;0.4984;0.3635;0.3667;0.2712;0.4505,11;7;10;8;9;10;10;8;8;7;9
37,16,6050.8,0.3687,0.2803,0.2048,0.3951;0.4428;0.4657;0.3825;0.4831;0.4203;0.2657;0.3711;0.4449;0.4169;0.3883;0.5119;0.6793;0.2943;0.3823;0.3613,9;9;10;9;10;9;7;8;9;9;9;10;12;8;9;8
38,11,4184.9,0.3754,0.5193,0.2027,0.4570;0.4725;0.4591;0.4205;0.2912;0.3012;0.5206;0.5304;0.2960;0.4984;0.4797,9;10;10;9;7;8;10;10;8;10;10
39,2,5581.3,0.3742,0.6773,0.2007,0.5364;0.4503,10;9
40,2,5392.5,0.373,0.5445,0.1987,0.3858;0.4160,9;9
41,22,12000.0,0.3726,0.3334,0.1967,0.3516;0.3010;0.4933;0.4433;0.4661;0.2391;0.4534;0.4503;0.3508;0.4431;0.3788;0.5633;0.4389;0.2291;0.3770;0.3307;0.2980;0.3134;0.3376;0.3016;0.3637;0.2149,8;8;10;9;10;7;9;9;8;9;9;11;9;7;9;8;8;8;8;8;8;7
42,11,4333.7,0.3727,0.4843,0.1947,0.4711;0.1532;0.5083;0.5275;0.3324;0.4046;0.2781;0.4493;0.5389;0.4598;0.3882,10;6;10;10;8;9;7;9;10;10;9
43,2,5424.8,0.3708,0.5613,0.1928,0.4640;0.3720,10;8
44,2,5359.3,0.3742,0.625,0.1909,0.5287;0.3828,10;9
45,8,4283.6,0.3751,0.5213,0.1889,0.6233;0.4490;0.3621;0.4614;0.1780;0.6017;0.3236;0.4249,11;9;8;10;6;11;8;9
46,23,12000.0,0.3706,0.3051,0.1871,0.2214;0.3040;0.3130;0.2990;0.4669;0.2946;0.2766;0.4984;0.2488;0.4447;0.5059;0.3155;0.4711;0.3169;0.0500;0.5582;0.1704;0.3398;0.3218;0.3639;0.3559;0.4629;0.1878,7;8;8;8;10;8;7;10;7;9;10;8;10;8;5;11;6;8;8;8;8;10;6
47,11,3997.0,0.3711,0.4888,0.1852,0.4791;0.3876;0.3459;0.5171;0.3711;0.4378;0.4444;0.5603;0.2867;0.4225;0.3461,10;9;8;10;8;9;9;11;7;9;8
48,2,5548.2,0.3742,0.5966,0.1833,0.4792;0.3917,10;9
49,2,5500.7,0.378,0.7078,0.1815,0.5478;0.4605,11;10
50,2,4909.7,0.3708,0.5849,0.1797,0.4977;0.3728,10;8
51,2,5515.4,0.3742,0.6296,0.1779,0.4736;0.4448,10;9
52,2,5525.3,0.3696,0.6362,0.1761,0.4155;0.5374,9;10
53,2,5139.9,0.37,0.5408,0.1743,0.4371;0.3728,9;8
54,6,5397.6,0.3745,0.5364,0.1726,0.5287;0.3462;0.3372;0.4729;0.4021;0.4897,10;8;8;10;9;10
55,2,5622.8,0.3742,0.594,0.1709,0.4704;0.3968,10;9
56,17,5540.0,0.3729,0.433,0.1692,0.4568;0.5266;0.2454;0.3551;0.3382;0.4785;0.4262;0.4355;0.5624;0.4252;0.5201;0.3212;0.4254;0.5086;0.4623;0.3967;0.4902,9;10;7;8;8;10;9;9;11;9;10;8;9;10;10;9;10
57,11,9390.1,0.3793,0.4961,0.1675,0.4097;0.5103;0.2512;0.5268;0.2349;0.5787;0.4139;0.4535;0.3151;0.5441;0.1885,9;10;7;10;7;11;9;9;8;11;6
58,2,5479.9,0.3713,0.6255,0.1658,0.5689;0.3582,11;8
59,2,6824.8,0.3145,0.1879,0.1641,0.3306;0.0723,8;5
60,17,5003.9,0.3719,0.4087,0.1625,0.6239;0.4323;0.4572;0.4716;0.4668;0.4848;0.4059;0.3223;0.3817;0.4233;0.3644;0.4738;0.3851;0.2887;0.3031;0.3906;0.3403,11;9;9;10;10;10;9;8;9;9;8;10;9;7;8;9;8
61,11,12000.0,0.3799,0.5054,0.1609,0.5834;0.3873;0.4808;0.5188;0.4583;0.2757;0.2974;0.3138;0.4528;0.4521;0.2565,11;9;10;10;9;7;8;8;9;9;7
62,2,5247.1,0.3747,0.668,0.1593,0.4585;0.5121,10;10
63,17,5155.9,0.3702,0.46,0.1577,0.4070;0.3655;0.5458;0.6555;0.5361;0.2553;0.5882;0.3709;0.4052;0.5532;0.2760;0.6248;0.5094;0.4826;0.5482;0.4743;0.3597,9;8;11;12;10;7;11;8;9;11;7;11;10;10;11;10;8
64,17,5520.8,0.3731,0.4284,0.1561,0.4338;0.4502;0.5045;0.5344;0.4999;0.2501;0.4350;0.4636;0.4014;0.4319;0.4337;0.4212;0.3077;0.3511;0.3931;0.4936;0.4833,9;9;10;10;10;7;9;10;9;9;9;9;8;8;9;10;10
65,11,4360.6,0.3547,0.407,0.1545,0.1801;0.2897;0.3678;0.2276;0.5776;0.4898;0.3684;0.4492;0.4251;0.5249;0.3921,6;7;8;7;11;10;8;9;9;10;9
66,2,5332.1,0.373,0.5375,0.153,0.3774;0.4144,9;9
67,2,5457.3,0.3745,0.7744,0.1515,0.6270;0.4967,12;10
68,2,4972.8,0.3642,0.3863,0.15,0.2452;0.3581,7;8
69,2,5650.5,0.373,0.5394,0.1485,0.3784;0.4161,9;9
70,2,5366.3,0.3696,0.6351,0.147,0.4455;0.5057,9;10
71,2,5543.5,0.373,0.6045,0.1455,0.4355;0.4529,9;9
72,11,4323.3,0.3725,0.4841,0.144,0.3598;0.5597;0.2642;0.3729;0.5957;0.3414;0.3031;0.4105;0.4359;0.4519;0.4095,8;11;7;8;11;8;8;9;9;9;9
73,2,5394.1,0.3691,0.7228,0.1426,0.4014;0.6832,9;12
74,2,5414.0,0.3726,0.5422,0.1412,0.3386;0.4622,8;10
75,7,3994.8,0.3734,0.5327,0.1398,0.4209;0.3788;0.4913;0.3908;0.4057;0.4185;0.5130,9;9;10;9;9;9;10
76,2,5284.3,0.3746,0.5361,0.1384,0.2470;0.5363,7;10
77,16,12000.0,0.3674,0.2733,0.137,0.3760;0.3891;0.4647;0.4367;0.5073;0.4343;0.5608;0.5845;0.4781;0.3322;0.3651;0.2277;0.4026;0.4451;0.5741;0.2042,9;9;10;9;10;9;11;11;10;8;8;7;9;9;11;6
78,2,5479.6,0.3742,0.6364,0.1356,0.5168;0.4112,10;9
79,2,5514.8,0.3715,0.469,0.1343,0.2985;0.4004,8;9
80,2,5298.5,0.378,0.7464,0.1329,0.5792;0.4834,11;10
81,2,5414.2,0.3747,0.6934,0.1316,0.5040;0.5030,10;10
82,2,5604.4,0.3728,0.652,0.1303,0.5423;0.4156,11;9
83,2,5280.7,0.3734,0.788,0.129,0.5301;0.6210,10;11
84,2,5324.6,0.3696,0.5872,0.1277,0.4188;0.4617,9;10
85,2,5763.4,0.3742,0.6043,0.1264,0.4842;0.3977,10;9
86,2,5647.5,0.373,0.541,0.1251,0.3973;0.3993,9;9
87,2,5406.1,0.3694,0.6552,0.1239,0.3951;0.5873,9;11
88,2,9169.1,0.3696,0.5201,0.1226,0.5367;0.2441,10;7
89,2,5539.5,0.3696,0.6316,0.1214,0.4366;0.5095,9;10
90,2,5535.3,0.3743,0.4757,0.1202,0.3451;0.3520,8;8
91,2,9142.8,0.3571,0.3993,0.119,0.3711;0.2774,8;7
92,2,5316.3,0.3691,0.8113,0.1178,0.4372;0.7780,9;13
93,2,5393.9,0.3749,0.6695,0.1166,0.2524;0.7206,7;13
94,2,5570.3,0.373,0.5512,0.1155,0.3980;0.4134,9;9
95,2,5347.9,0.3747,0.6496,0.1143,0.4676;0.4766,10;10
96,2,5373.0,0.3735,0.8955,0.1132,0.6363;0.6694,12;12
97,2,5338.7,0.373,0.6079,0.112,0.4583;0.4350,9;9
98,2,5519.6,0.3747,0.7308,0.1109,0.5321;0.5283,10;10
99,2,5268.8,0.3715,0.4708,0.1098,0.2978;0.4038,8;9
100,2,5399.5,0.3742,0.6021,0.1087,0.4771;0.4017,10;9
101,2,5346.7,0.378,0.7575,0.1076,0.6080;0.4700,11;10
102,2,5362.4,0.3715,0.4972,0.1065,0.3307;0.4094,8;9
103,2,5695.5,0.3715,0.5066,0.1055,0.3512;0.4024,8;9
104,2,5457.6,0.3726,0.5738,0.1044,0.3472;0.4995,8;10
105,2,5675.9,0.3728,0.6822,0.1034,0.5696;0.4320,11;9
106,2,5546.2,0.3742,0.5931,0.1023,0.4712;0.3946,10;9
107,2,5467.7,0.3742,0.63,0.1013,0.4915;0.4274,10;9
108,2,5016.7,0.3719,0.662,0.1003,0.3453;0.6335,8;12
109,2,5377.5,0.3726,0.5485,0.0993,0.2986;0.5115,8;10
110,2,5627.7,0.3726,0.5498,0.0983,0.3056;0.5064,8;10
111,2,5427.1,0.3726,0.5604,0.0973,0.3431;0.4840,8;10
112,2,5687.4,0.3742,0.616,0.0964,0.5209;0.3777,10;9
113,2,5612.5,0.3742,0.6344,0.0954,0.4874;0.4379,10;9
114,2,7645.0,0.3789,0.4732,0.0944,0.5169;0.1573,10;6
115,7,5075.9,0.3731,0.5695,0.0935,0.3808;0.4344;0.3699;0.5702;0.5338;0.5956;0.3575,9;9;8;11;10;11;8
116,2,5577.4,0.3726,0.5397,0.0926,0.3209;0.4763,8;10
117,2,5480.5,0.378,0.7628,0.0916,0.5799;0.5057,11;10
118,2,9143.8,0.3571,0.3995,0.0907,0.3606;0.2884,8;7
119,2,5321.7,0.3733,0.7456,0.0898,0.5448;0.5456,11;11
120,2,5504.4,0.3696,0.5933,0.0889,0.4214;0.4681,9;10
121,2,5385.8,0.3743,0.4447,0.088,0.3039;0.3490,8;8
122,2,5602.6,0.3685,0.414,0.0871,0.1254;0.5051,6;10
123,2,5793.7,0.373,0.5834,0.0863,0.4018;0.4563,9;9
124,2,5488.5,0.3713,0.6191,0.0854,0.5550;0.3628,11;8
125,2,5373.0,0.3743,0.4662,0.0846,0.3606;0.3228,8;8
126,6,5305.5,0.3703,0.5154,0.0837,0.4131;0.3630;0.4369;0.5030;0.4068;0.4250,9;8;9;10;9;9
127,2,5496.9,0.373,0.5897,0.0829,0.4319;0.4351,9;9
128,2,5431.4,0.3694,0.6413,0.082,0.3945;0.5673,9;11
129,2,5451.9,0.3704,0.7244,0.0812,0.6394;0.4378,12;9
130,2,5446.4,0.3742,0.6421,0.0804,0.4981;0.4381,10;9
131,2,5453.4,0.3691,0.7066,0.0796,0.4112;0.6493,9;12
132,2,5431.7,0.3742,0.6001,0.0788,0.4974;0.3784,10;9
133,2,5500.7,0.3742,0.6518,0.078,0.5296;0.4205,10;9
134,2,5521.1,0.373,0.5781,0.0772,0.4248;0.4254,9;9
135,2,5003.5,0.37,0.5466,0.0765,0.4576;0.3608,9;8
136,2,5402.2,0.373,0.5454,0.0757,0.4065;0.3964,9;9
137,2,5515.0,0.373,0.6039,0.075,0.4496;0.4379,9;9
138,2,5395.8,0.3743,0.4826,0.0742,0.3447;0.3624,8;8
139,2,5533.7,0.37,0.5341,0.0735,0.4392;0.3608,9;8
140,2,5564.1,0.3715,0.4937,0.0727,0.3267;0.4082,8;9
141,18,5888.8,0.3636,0.3981,0.072,0.5020;0.7152;0.3758;0.5841;0.6058;0.5707;0.4225;0.4746;0.2526;0.3542;0.4393;0.2565;0.3723;0.4944;0.2797;0.3816;0.5508;0.4716,10;13;9;11;11;11;9;10;7;8;9;7;8;10;7;9;11;10
142,2,5507.2,0.3715,0.5162,0.0713,0.3166;0.4512,8;9
143,2,5529.8,0.3715,0.53,0.0706,0.3549;0.4329,8;9
144,2,5575.3,0.3696,0.5697,0.0699,0.3858;0.4690,9;10
