episode,cut_point,e2e_ms,map50,reward,epsilon,ratios,bits
94,2,5321.1,0.373,0.5867,0.1155,0.4264;0.4339,9;9
95,5,5161.9,0.3762,0.7374,0.1143,0.5612;0.5011;0.4576;0.5663;0.6395,11;10;9;11;12
96,7,5344.2,0.3742,0.6258,0.1132,0.3759;0.4827;0.6709;0.4954;0.3532;0.5338;0.5448,9;10;12;10;8;10;11
97,5,5117.0,0.3724,0.6941,0.112,0.6320;0.5696;0.4865;0.3630;0.5711,12;11;10;8;11
98,7,5350.6,0.3688,0.6356,0.1109,0.4413;0.5121;0.5312;0.4636;0.5149;0.5757;0.5907,9;10;10;10;10;11;11
99,9,4368.4,0.3671,0.568,0.1098,0.4477;0.5142;0.4577;0.5624;0.4414;0.5720;0.5488;0.2586;0.5454,9;10;9;11;9;11;11;7;11
100,1,5604.9,0.3691,0.515,0.1087,0.4462,9
101,5,5153.2,0.3745,0.6425,0.1076,0.5791;0.5114;0.2938;0.5574;0.4594,11;10;8;11;10
102,1,5946.0,0.3733,0.6495,0.1065,0.5450,11
103,5,4975.0,0.3702,0.5843,0.1055,0.4883;0.3281;0.3917;0.5060;0.5316,10;8;9;10;10
104,7,4723.0,0.3814,0.5812,0.1044,0.4997;0.4286;0.2680;0.4630;0.4989;0.4063;0.5036,10;9;7;10;10;9;10
105,5,5148.5,0.3735,0.5666,0.1034,0.4280;0.3879;0.5071;0.4019;0.4109,9;9;10;9;9
106,1,5387.9,0.3691,0.4828,0.1023,0.4189,9
107,5,4498.4,0.3718,0.6827,0.1013,0.4488;0.4899;0.5574;0.3719;0.7249,9;10;11;8;13
108,11,4585.9,0.3691,0.6343,0.1003,0.3985;0.5881;0.5954;0.6662;0.5560;0.4920;0.3965;0.4726;0.5678;0.5669;0.5638,9;11;11;12;11;10;9;10;11;11;11
109,5,5115.5,0.3751,0.7283,0.0993,0.6962;0.5035;0.4983;0.5893;0.4217,12;10;10;11;9
110,1,6085.3,0.3691,0.4487,0.0983,0.3899,9
111,5,4669.4,0.3728,0.7006,0.0973,0.5494;0.5568;0.4164;0.4614;0.6583,11;11;9;10;12
112,1,5706.2,0.3691,0.4417,0.0964,0.3839,9
113,14,4665.7,0.3735,0.5694,0.0954,0.4034;0.4455;0.4005;0.4782;0.4468;0.4663;0.4973;0.5319;0.4971;0.6661;0.6090;0.5050;0.4934;0.3974,9;9;9;10;9;10;10;10;10;12;11;10;10;9
114,6,5208.3,0.3754,0.5956,0.0944,0.5733;0.4629;0.4156;0.3904;0.5740;0.3719,11;10;9;9;11;8
115,6,5394.3,0.3757,0.5878,0.0935,0.4839;0.5367;0.3083;0.4043;0.3450;0.6742,10;10;8;9;8;12
116,5,4988.6,0.3735,0.6784,0.0926,0.5484;0.4789;0.4375;0.6471;0.4400,11;10;9;12;9
117,14,4727.7,0.3731,0.5352,0.0916,0.4666;0.4479;0.5213;0.5306;0.4773;0.4756;0.3737;0.5757;0.4372;0.4442;0.4246;0.4908;0.4014;0.4001,10;9;10;10;10;10;8;11;9;9;9;10;9;9
118,5,5159.5,0.3737,0.7546,0.0907,0.4779;0.5936;0.7186;0.5218;0.5189,10;11;13;10;10
119,1,5741.0,0.3722,0.3433,0.0898,0.2944,8
120,14,4760.6,0.3733,0.5716,0.0889,0.4866;0.4605;0.4028;0.6298;0.5962;0.5899;0.5727;0.5572;0.3595;0.5303;0.4660;0.4848;0.3591;0.4127,10;10;9;12;11;11;11;11;8;10;10;10;8;9
121,5,4803.9,0.3689,0.6768,0.088,0.4578;0.5796;0.5187;0.5446;0.5154,9;11;10;11;10
122,14,4863.9,0.3732,0.582,0.0871,0.5606;0.5012;0.3715;0.4554;0.4348;0.5239;0.6630;0.5002;0.6885;0.3823;0.4976;0.3255;0.5819;0.5350,11;10;8;9;9;10;12;10;12;9;10;8;11;10
123,5,5095.0,0.3778,0.7423,0.0863,0.6180;0.5389;0.6268;0.3790;0.5524,11;10;12;9;11
124,1,6070.4,0.3691,0.469,0.0854,0.4071,9
125,1,5874.8,0.3691,0.4999,0.0846,0.4334,9
126,5,4755.7,0.3677,0.6241,0.0837,0.4117;0.3677;0.4685;0.6023;0.5853,9;8;10;11;11
127,1,6099.4,0.3735,0.7707,0.0829,0.6445,12
128,5,5001.0,0.3745,0.6466,0.082,0.5033;0.4578;0.4827;0.5120;0.4618,10;9;10;10;10
129,1,5652.3,0.3691,0.5152,0.0812,0.4464,9
130,5,5135.3,0.3549,0.4138,0.0804,0.3920;0.1959;0.4648;0.3865;0.3141,9;6;10;9;8
131,1,5923.8,0.3739,0.5607,0.0796,0.4700,10
132,5,5108.4,0.3745,0.6551,0.0788,0.5415;0.4702;0.4586;0.5060;0.4730,10;10;10;10;10
133,1,5780.4,0.3733,0.6506,0.078,0.5460,11
134,5,5128.1,0.3729,0.7061,0.0772,0.6128;0.5555;0.6184;0.4982;0.3755,11;11;11;10;9
135,1,5646.7,0.3739,0.5931,0.0765,0.4967,10
136,5,4827.3,0.3745,0.6782,0.0757,0.5258;0.4818;0.5336;0.5089;0.4852,10;10;10;10;10
137,7,4817.0,0.3672,0.6025,0.075,0.4548;0.3316;0.5999;0.4050;0.5042;0.5193;0.6617,9;8;11;9;10;10;12
138,5,5040.5,0.3728,0.7262,0.0742,0.5975;0.5474;0.3904;0.5277;0.6752,11;11;9;10;12
139,7,5262.3,0.3721,0.6566,0.0735,0.4459;0.4573;0.5441;0.7069;0.5246;0.4419;0.5542,9;9;11;12;10;9;11
140,5,4919.0,0.374,0.6002,0.0727,0.4308;0.5206;0.4382;0.4769;0.3864,9;10;9;10;9
141,6,5472.6,0.3754,0.6141,0.072,0.4790;0.3465;0.3458;0.4947;0.6623;0.5525,10;8;8;10;12;11
142,5,5046.4,0.3766,0.724,0.0713,0.5976;0.5247;0.6797;0.4924;0.3743,11;10;12;10;8
143,1,5988.8,0.3736,0.8632,0.0706,0.7204,13
144,1,5850.7,0.3739,0.5905,0.0699,0.4945,10
145,1,5641.4,0.3736,0.8999,0.0692,0.7507,13
146,5,4785.8,0.3714,0.6238,0.0685,0.3591;0.4621;0.4223;0.5539;0.5824,8;10;9;11;11
147,1,5737.7,0.3722,0.379,0.0678,0.3241,8
148,5,4933.0,0.3761,0.5877,0.0671,0.3272;0.6274;0.3016;0.3590;0.5637,8;12;8;8;11
149,1,6032.1,0.3739,0.5504,0.0664,0.4615,10
150,1,5673.9,0.3739,0.5652,0.0658,0.4737,10
151,5,5154.5,0.3737,0.6646,0.0651,0.3321;0.7087;0.5164;0.5498;0.3917,8;13;10;11;9
152,7,5197.2,0.3725,0.6341,0.0645,0.4643;0.5576;0.4339;0.5377;0.4716;0.4671;0.6046,10;11;9;10;10;10;11
153,5,5249.6,0.3779,0.5336,0.0638,0.5313;0.4994;0.2841;0.3328;0.3095,10;10;7;8;8
154,10,4492.9,0.3766,0.6136,0.0632,0.2718;0.5088;0.4224;0.5770;0.4901;0.6433;0.4212;0.5500;0.4128;0.6213,7;10;9;11;10;12;9;11;9;11
155,5,5108.4,0.3752,0.6346,0.0625,0.4293;0.4428;0.5649;0.5386;0.3906,9;9;11;10;9
156,1,6033.7,0.3722,0.4341,0.0619,0.3700,8
157,10,4461.0,0.3735,0.6734,0.0613,0.5361;0.6312;0.7569;0.4645;0.3705;0.6178;0.4941;0.4022;0.5698;0.6452,10;12;13;10;8;11;10;9;11;12
158,1,5674.3,0.3739,0.639,0.0607,0.5345,10
159,10,4540.3,0.3745,0.6594,0.0601,0.5386;0.4871;0.5195;0.4614;0.5833;0.6030;0.5633;0.6069;0.4771;0.5018,10;10;10;10;11;11;11;11;10;10
160,6,5244.6,0.375,0.5111,0.0595,0.5663;0.3637;0.3606;0.3565;0.4346;0.3210,11;8;8;8;9;8
161,5,5063.0,0.3718,0.5666,0.0589,0.3483;0.4526;0.4258;0.5311;0.4011,8;9;9;10;9
162,1,5931.5,0.3733,0.7176,0.0583,0.6013,11
163,5,5123.8,0.3737,0.6123,0.0577,0.4918;0.5591;0.3880;0.5556;0.3079,10;11;9;11;8
164,1,6019.7,0.3691,0.4907,0.0571,0.4256,9
165,1,5825.9,0.3733,0.6817,0.0566,0.5716,11
166,5,5310.5,0.3719,0.5221,0.056,0.6361;0.2884;0.3962;0.3278;0.3358,12;7;9;8;8
167,5,5154.6,0.3747,0.6068,0.0554,0.4616;0.5126;0.5106;0.4456;0.3373,10;10;10;9;8
168,5,5113.6,0.3722,0.5862,0.0549,0.4225;0.4457;0.4339;0.4422;0.4806,9;9;9;9;10
169,6,5181.3,0.3736,0.5827,0.0543,0.4512;0.3992;0.5351;0.4651;0.5471;0.3667,9;9;10;10;11;8
170,6,4684.0,0.3682,0.6369,0.0538,0.4369;0.6360;0.5174;0.4277;0.5083;0.5950,9;12;10;9;10;11
171,6,4308.4,0.3727,0.6829,0.0533,0.5883;0.5428;0.3719;0.5396;0.6257;0.5822,11;11;8;10;12;11
172,5,5116.1,0.3745,0.6612,0.0527,0.5042;0.4679;0.5037;0.4908;0.5060,10;10;10;10;10
173,7,4902.1,0.3711,0.6002,0.0522,0.3269;0.5137;0.4107;0.5466;0.5734;0.4415;0.5691,8;10;9;11;11;9;11
174,5,5081.4,0.3735,0.762,0.0517,0.4651;0.6734;0.5906;0.5081;0.6244,10;12;11;10;11
175,7,4320.7,0.3755,0.5793,0.0512,0.5082;0.5216;0.3501;0.3986;0.3684;0.4654;0.5586,10;10;8;9;8;10;11
176,5,4718.3,0.3692,0.7125,0.0506,0.4081;0.6805;0.6723;0.4187;0.5670,9;12;12;9;11
177,1,6016.0,0.3739,0.573,0.0501,0.4801,10
178,5,5271.3,0.3741,0.6291,0.05,0.6883;0.4408;0.3899;0.4155;0.4194,12;9;9;9;9
179,1,5911.2,0.3739,0.6338,0.05,0.5302,10
180,1,5818.0,0.3739,0.5654,0.05,0.4739,10
181,6,4597.7,0.3734,0.6543,0.05,0.4646;0.5701;0.5830;0.5203;0.4468;0.5195,10;11;11;10;9;10
182,1,5891.2,0.3691,0.5072,0.05,0.4396,9
183,1,5801.2,0.3739,0.6399,0.05,0.5352,10
184,1,5811.7,0.3739,0.6269,0.05,0.5245,10
185,1,5831.4,0.3691,0.5123,0.05,0.4439,9
186,1,5959.2,0.3691,0.4973,0.05,0.4312,9
187,1,12000.0,0.3751,0.3395,0.05,0.2856,7
188,6,4673.4,0.3695,0.6264,0.05,0.4557;0.5907;0.4478;0.6154;0.3837;0.5547,9;11;9;11;9;11
189,5,5145.1,0.3739,0.6223,0.05,0.6827;0.3425;0.4398;0.5427;0.3272,12;8;9;11;8
