episode,cut_point,e2e_ms,map50,reward,epsilon,ratios,bits
-1,22,6170.3,0.3732,0.463,0.297,0.4720;0.5565;0.5248;0.5865;0.4741;0.3911;0.4364;0.5364;0.4810;0.5345;0.5008;0.5079;0.4687;0.1995;0.3387;0.6674;0.6287;0.5244;0.5521;0.5414;0.3642;0.3790,10;11;10;11;10;9;9;10;10;10;10;10;10;6;8;12;12;10;11;10;8;9
1,22,6143.1,0.376,0.4763,0.294,0.5407;0.5038;0.5543;0.2991;0.5813;0.2860;0.6253;0.3655;0.4707;0.4662;0.6384;0.6384;0.3899;0.5610;0.3913;0.4414;0.4468;0.5135;0.4019;0.3225;0.6212;0.6178,10;10;11;8;11;7;12;8;10;10;12;12;9;11;9;9;9;10;9;8;11;11
2,6,5261.9,0.3675,0.6067,0.2911,0.4553;0.6026;0.3338;0.4183;0.5941;0.5842,9;11;8;9;11;11
3,22,6333.2,0.3733,0.5405,0.2882,0.5949;0.5771;0.5848;0.6281;0.5678;0.6323;0.4831;0.3369;0.6416;0.4795;0.6463;0.4324;0.5994;0.5918;0.5205;0.8315;0.5164;0.6934;0.5327;0.4423;0.5074;0.5810,11;11;11;12;11;12;10;8;12;10;12;9;11;11;10;14;10;12;10;9;10;11
4,5,4875.8,0.3745,0.6583,0.2853,0.4599;0.5311;0.4898;0.4719;0.5091,10;10;10;10;10
5,22,6194.2,0.3721,0.4942,0.2824,0.6400;0.5037;0.3622;0.4160;0.4180;0.4543;0.5777;0.5119;0.6409;0.5482;0.2862;0.5515;0.5892;0.5366;0.3447;0.5831;0.5214;0.6223;0.4653;0.6810;0.6340;0.5575,12;10;8;9;9;9;11;10;12;11;7;11;11;10;8;11;10;11;10;12;12;11
6,22,5376.2,0.3756,0.4642,0.2796,0.3889;0.5935;0.6052;0.5362;0.5370;0.4846;0.3180;0.5338;0.4075;0.6308;0.2607;0.4867;0.5293;0.5134;0.3077;0.6062;0.4007;0.5448;0.5385;0.3831;0.5471;0.3385,9;11;11;10;10;10;8;10;9;12;7;10;10;10;8;11;9;11;10;9;11;8
7,22,6284.5,0.3746,0.4703,0.2768,0.5370;0.6574;0.3965;0.3059;0.5280;0.4083;0.6171;0.6483;0.4188;0.3431;0.3831;0.1945;0.3487;0.3640;0.7045;0.3848;0.6602;0.6078;0.4754;0.6962;0.5565;0.4901,10;12;9;8;10;9;11;12;9;8;9;6;8;8;12;9;12;11;10;12;11;10
8,22,6182.3,0.3685,0.472,0.2741,0.4620;0.2709;0.5603;0.5485;0.3520;0.5069;0.4730;0.4656;0.3404;0.4581;0.4894;0.6709;0.5084;0.4695;0.6450;0.5891;0.5577;0.6326;0.5372;0.7492;0.5137;0.4714,10;7;11;11;8;10;10;10;8;9;10;12;10;10;12;11;11;12;10;13;10;10
9,22,6052.6,0.3752,0.4668,0.2713,0.5770;0.5537;0.4277;0.4507;0.4357;0.4443;0.6536;0.4572;0.4626;0.4556;0.3522;0.1942;0.5514;0.4558;0.4424;0.5027;0.5244;0.5220;0.4937;0.3980;0.6111;0.6020,11;11;9;9;9;9;12;9;10;9;8;6;11;9;9;10;10;10;10;9;11;11
10,22,6118.2,0.3768,0.4379,0.2686,0.3838;0.4515;0.2721;0.4692;0.4540;0.4161;0.4185;0.3467;0.5283;0.3797;0.2766;0.4509;0.5333;0.4657;0.5810;0.5825;0.4101;0.2887;0.4621;0.4563;0.5472;0.5725,9;9;7;10;9;9;9;8;10;9;7;9;10;10;11;11;9;7;10;9;11;11
11,22,6131.8,0.3659,0.4423,0.2659,0.6280;0.5915;0.4815;0.1876;0.4817;0.4973;0.3543;0.5839;0.3681;0.4097;0.6016;0.5255;0.5362;0.5320;0.5887;0.4617;0.5259;0.4180;0.4557;0.5300;0.5691;0.4564,12;11;10;6;10;10;8;11;8;9;11;10;10;10;11;10;10;9;9;10;11;9
12,22,5409.4,0.3757,0.4529,0.2633,0.3583;0.3662;0.5029;0.5662;0.4756;0.5772;0.5199;0.5497;0.4840;0.4224;0.5244;0.2527;0.5194;0.5608;0.4123;0.4311;0.3424;0.5780;0.5816;0.5210;0.4066;0.3291,8;8;10;11;10;11;10;11;10;9;10;7;10;11;9;9;8;11;11;10;9;8
13,22,6039.0,0.373,0.4584,0.2606,0.3634;0.4286;0.4301;0.5200;0.4292;0.5816;0.4062;0.4815;0.3119;0.5633;0.6085;0.6514;0.4290;0.5457;0.5332;0.4428;0.6058;0.6085;0.5123;0.3460;0.2876;0.4965,8;9;9;10;9;11;9;10;8;11;11;12;9;11;10;9;11;11;10;8;7;10
14,22,6254.5,0.3715,0.498,0.258,0.4226;0.5620;0.5395;0.5281;0.7093;0.5479;0.6083;0.4624;0.6383;0.5607;0.4357;0.4992;0.5149;0.4962;0.5810;0.5314;0.4983;0.4990;0.4707;0.6006;0.4887;0.4737,9;11;10;10;13;11;11;10;12;11;9;10;10;10;11;10;10;10;10;11;10;10
15,10,4278.0,0.376,0.5917,0.2554,0.5259;0.4681;0.5770;0.6029;0.3579;0.4451;0.5363;0.4764;0.2971;0.4695,10;10;11;11;8;9;10;10;8;10
16,5,4438.1,0.3705,0.5865,0.2529,0.5427;0.2434;0.5895;0.3686;0.5031,11;7;11;8;10
17,22,6303.3,0.3701,0.4369,0.2504,0.4570;0.5382;0.5512;0.4356;0.4124;0.5083;0.5439;0.5302;0.4111;0.3322;0.4257;0.5209;0.5956;0.4844;0.4970;0.3899;0.4997;0.3391;0.4067;0.5164;0.3929;0.5563,9;10;11;9;9;10;11;10;9;8;9;10;11;10;10;9;10;8;9;10;9;11
18,22,6270.9,0.3714,0.455,0.2479,0.5596;0.4900;0.4377;0.5052;0.4515;0.4546;0.6214;0.4260;0.4249;0.4311;0.5945;0.6668;0.4585;0.3781;0.6283;0.3809;0.4604;0.4449;0.4879;0.4227;0.3630;0.5202,11;10;9;10;9;9;11;9;9;9;11;12;10;9;12;9;10;9;10;9;8;10
19,17,5739.9,0.3757,0.5246,0.2454,0.3402;0.4427;0.5162;0.5013;0.4401;0.4516;0.7292;0.6059;0.5793;0.4327;0.3782;0.5584;0.3804;0.6073;0.5364;0.3473;0.5500,8;9;10;10;9;9;13;11;11;9;9;11;9;11;10;8;11
20,22,6080.3,0.3712,0.4362,0.2429,0.5036;0.6324;0.4742;0.3806;0.5439;0.4590;0.5507;0.4867;0.4307;0.4134;0.2812;0.3839;0.5322;0.4442;0.4065;0.5235;0.3692;0.4856;0.4387;0.4973;0.5113;0.4638,10;12;10;9;11;10;11;10;9;9;7;9;10;9;9;10;8;10;9;10;10;10
21,22,6225.4,0.3695,0.4487,0.2405,0.4141;0.3846;0.5350;0.6187;0.5836;0.5005;0.5185;0.4207;0.3353;0.4890;0.4492;0.4555;0.6284;0.3143;0.3470;0.3502;0.5033;0.5838;0.6127;0.5436;0.5496;0.5316,9;9;10;11;11;10;10;9;8;10;9;9;12;8;8;8;10;11;11;11;11;10
22,22,6105.7,0.3724,0.4925,0.2381,0.4344;0.5145;0.4360;0.4245;0.4914;0.4026;0.5148;0.4630;0.6696;0.6525;0.4641;0.6465;0.3973;0.5192;0.6398;0.4325;0.5760;0.5836;0.4833;0.5976;0.5177;0.5363,9;10;9;9;10;9;10;10;12;12;10;12;9;10;12;9;11;11;10;11;10;10
23,22,6126.9,0.3715,0.4508,0.2357,0.4564;0.5385;0.3973;0.4926;0.5446;0.5311;0.5101;0.3353;0.4239;0.6225;0.4572;0.5129;0.6048;0.5536;0.4250;0.4931;0.3059;0.5021;0.5445;0.4100;0.4205;0.4270,9;10;9;10;11;10;10;8;9;11;9;10;11;11;9;10;8;10;11;9;9;9
24,22,12000.0,0.3751,0.4827,0.2333,0.4803;0.5286;0.4601;0.5229;0.6103;0.4964;0.4598;0.5055;0.6271;0.6944;0.3332;0.5789;0.4401;0.5389;0.5914;0.4149;0.5446;0.4076;0.5403;0.3178;0.5813;0.2900,10;10;10;10;11;10;10;10;12;12;8;11;9;10;11;9;11;9;10;8;11;7
25,22,6195.3,0.3686,0.4664,0.231,0.4290;0.5122;0.7087;0.4830;0.6127;0.7747;0.4545;0.4476;0.4186;0.4747;0.4076;0.4485;0.5657;0.5215;0.5079;0.6153;0.5644;0.4244;0.5383;0.4739;0.3778;0.4633,9;10;13;10;11;13;9;9;9;10;9;9;11;10;10;11;11;9;10;10;9;10
26,22,5719.8,0.3735,0.4601,0.2287,0.5194;0.4725;0.6000;0.5015;0.3564;0.5166;0.4972;0.7493;0.5911;0.4364;0.4020;0.5043;0.4031;0.3071;0.3828;0.5188;0.3042;0.5364;0.4843;0.4189;0.4696;0.5765,10;10;11;10;8;10;10;13;11;9;9;10;9;8;9;10;8;10;10;9;10;11
27,22,5212.4,0.3681,0.3752,0.2264,0.4338;0.4012;0.3766;0.4540;0.2943;0.4162;0.2786;0.4290;0.6235;0.3102;0.2586;0.5048;0.5106;0.3101;0.5069;0.4021;0.4229;0.4143;0.6303;0.3399;0.3056;0.3590,9;9;9;9;8;9;7;9;11;8;7;10;10;8;10;9;9;9;12;8;8;8
28,5,5223.6,0.3725,0.6399,0.2242,0.3375;0.5090;0.4871;0.5123;0.5797,8;10;10;10;11
29,1,5721.9,0.3733,0.6491,0.2219,0.5447,11
30,5,5043.8,0.3723,0.6797,0.2197,0.6150;0.3803;0.5378;0.4430;0.5963,11;9;10;9;11
31,5,5115.4,0.373,0.5636,0.2175,0.4940;0.3236;0.3832;0.2927;0.6345,10;8;9;8;12
32,11,4269.9,0.3741,0.6374,0.2153,0.5695;0.5382;0.5856;0.3870;0.3912;0.6887;0.5873;0.5143;0.3802;0.3852;0.6699,11;10;11;9;9;12;11;10;9;9;12
33,5,5013.8,0.3707,0.5821,0.2132,0.4637;0.3128;0.5685;0.4622;0.4235,10;8;11;10;9
34,5,4793.0,0.3702,0.6904,0.211,0.6508;0.5308;0.5077;0.2754;0.6772,12;10;10;7;12
35,5,4833.5,0.372,0.6032,0.2089,0.4230;0.4596;0.5269;0.3598;0.5220,9;10;10;8;10
36,5,5203.5,0.3722,0.6202,0.2068,0.3092;0.6067;0.3018;0.5180;0.6189,8;11;8;10;11
37,7,5220.6,0.3692,0.6189,0.2048,0.4488;0.5446;0.4369;0.5567;0.5644;0.5119;0.4642,9;11;9;11;11;10;10
38,5,5174.9,0.3736,0.6717,0.2027,0.5058;0.5675;0.4283;0.4513;0.5698,10;11;9;9;11
39,7,5278.3,0.3742,0.6455,0.2007,0.5570;0.5368;0.7495;0.2582;0.5215;0.2444;0.6826,11;10;13;7;10;7;12
40,5,5418.4,0.3735,0.715,0.1987,0.6669;0.5860;0.4614;0.4772;0.4919,12;11;10;10;10
41,5,4800.8,0.372,0.6722,0.1967,0.6259;0.4513;0.4410;0.4437;0.5854,12;9;9;9;11
42,6,5419.0,0.3731,0.6112,0.1947,0.5175;0.4102;0.4465;0.5546;0.5155;0.4618,10;9;9;11;10;10
43,5,4203.4,0.3721,0.6694,0.1928,0.4774;0.5089;0.4468;0.4310;0.6732,10;10;9;9;12
44,6,5433.1,0.3741,0.555,0.1909,0.2290;0.4769;0.4753;0.4095;0.4612;0.5796,7;10;10;9;10;11
45,10,12000.0,0.3729,0.6056,0.1889,0.4642;0.4883;0.5058;0.5170;0.5263;0.4646;0.5826;0.5351;0.6131;0.2716,10;10;10;10;10;10;11;10;11;7
46,10,4336.7,0.3713,0.5639,0.1871,0.4485;0.5771;0.4714;0.2611;0.3957;0.5411;0.6201;0.5799;0.2282;0.5388,9;11;10;7;9;10;11;11;7;10
47,5,5075.2,0.3643,0.5397,0.1852,0.2537;0.3385;0.5624;0.5266;0.4740,7;8;11;10;10
48,10,4461.4,0.3672,0.5911,0.1833,0.5202;0.4001;0.5817;0.3715;0.5980;0.6090;0.5432;0.5104;0.3945;0.4976,10;9;11;8;11;11;11;10;9;10
49,5,5120.5,0.3722,0.6115,0.1815,0.4234;0.4274;0.4358;0.3845;0.6494,9;9;9;9;12
50,7,4139.9,0.3722,0.6067,0.1797,0.4425;0.5411;0.4945;0.4908;0.5629;0.4441;0.4168,9;10;10;10;11;9;9
51,1,5980.6,0.3739,0.6027,0.1779,0.5046,10
52,7,5146.2,0.3736,0.6651,0.1761,0.6449;0.5659;0.5477;0.5284;0.3955;0.4779;0.5182,12;11;11;10;9;10;10
53,5,4465.3,0.3729,0.6981,0.1743,0.5640;0.6246;0.4717;0.3065;0.6619,11;11;10;8;12
54,5,5066.2,0.3691,0.6298,0.1726,0.4094;0.5880;0.4959;0.4295;0.5110,9;11;10;9;10
55,23,6184.5,0.3687,0.4352,0.1709,0.4115;0.5554;0.5228;0.4363;0.5662;0.4260;0.3458;0.3819;0.4527;0.4246;0.4992;0.4378;0.5755;0.4452;0.4717;0.5391;0.4128;0.3946;0.4834;0.5785;0.4334;0.4298;0.5106,9;11;10;9;11;9;8;9;9;9;10;9;11;9;10;10;9;9;10;11;9;9;10
56,5,5336.4,0.3764,0.6866,0.1692,0.5507;0.5296;0.2816;0.5783;0.5963,11;10;7;11;11
57,5,4810.0,0.3683,0.6191,0.1675,0.3812;0.4975;0.4975;0.3856;0.6421,9;10;10;9;12
58,1,5888.9,0.3733,0.6719,0.1658,0.5635,11
59,5,4787.7,0.3716,0.6691,0.1641,0.2960;0.4650;0.7264;0.4318;0.6298,8;10;13;9;12
60,1,6057.3,0.3739,0.588,0.1625,0.4925,10
61,6,5650.5,0.3726,0.6463,0.1609,0.4244;0.3927;0.5696;0.5507;0.5282;0.6209,9;9;11;11;10;11
62,6,5362.4,0.3752,0.6633,0.1593,0.6406;0.5290;0.5242;0.4286;0.3575;0.6285,12;10;10;9;8;12
63,5,4948.7,0.3707,0.6235,0.1577,0.3921;0.6296;0.4495;0.2572;0.6552,9;12;9;7;12
64,1,6005.1,0.3733,0.6828,0.1561,0.5726,11
65,6,5476.0,0.3709,0.572,0.1545,0.3829;0.2638;0.5443;0.3719;0.5500;0.6513,9;7;11;8;11;12
66,17,5054.3,0.3742,0.4858,0.153,0.4980;0.3197;0.3563;0.6098;0.5980;0.4577;0.5154;0.4833;0.4609;0.4159;0.4580;0.4427;0.3815;0.4761;0.4938;0.5156;0.3654,10;8;8;11;11;9;10;10;10;9;9;9;9;10;10;10;8
67,5,5117.2,0.3749,0.7239,0.1515,0.4883;0.6344;0.5204;0.5859;0.4695,10;12;10;11;10
68,17,5704.5,0.3737,0.5226,0.15,0.5771;0.4159;0.3548;0.5352;0.4312;0.5092;0.5353;0.4871;0.5007;0.4683;0.6165;0.4670;0.5830;0.4695;0.4880;0.5694;0.4250,11;9;8;10;9;10;10;10;10;10;11;10;11;10;10;11;9
69,14,4299.7,0.3733,0.5494,0.1485,0.5105;0.5380;0.5019;0.4697;0.4104;0.5765;0.3299;0.4248;0.4909;0.4955;0.4717;0.4339;0.6300;0.3279,10;10;10;10;9;11;8;9;10;10;10;9;12;8
70,17,5679.2,0.366,0.468,0.147,0.3981;0.3741;0.5110;0.3320;0.6724;0.4424;0.4762;0.5025;0.5928;0.3858;0.5217;0.4582;0.4359;0.4797;0.4748;0.5622;0.4157,9;8;10;8;12;9;10;10;11;9;10;9;9;10;10;11;9
71,5,5260.5,0.3738,0.638,0.1455,0.5250;0.6832;0.3539;0.4103;0.4211,10;12;8;9;9
72,1,5743.5,0.3735,0.8035,0.144,0.6716,12
73,5,5104.3,0.3715,0.5908,0.1426,0.3049;0.4774;0.4379;0.5372;0.4972,8;10;9;10;10
74,1,5994.4,0.3733,0.6635,0.1412,0.5566,11
75,6,5421.2,0.3709,0.6025,0.1398,0.5054;0.3468;0.5298;0.6029;0.4820;0.4408,10;8;10;11;10;9
76,1,5822.1,0.3739,0.6467,0.1384,0.5408,10
77,5,5221.0,0.3773,0.7096,0.137,0.5821;0.5361;0.5448;0.4462;0.4961,11;10;11;9;10
78,1,6143.9,0.3691,0.5015,0.1356,0.4347,9
79,5,4683.7,0.3749,0.7227,0.1343,0.5489;0.5343;0.5034;0.4775;0.6285,11;10;10;10;12
80,1,5881.5,0.3733,0.6653,0.1329,0.5581,11
81,5,4966.1,0.3733,0.6315,0.1316,0.4664;0.5560;0.4196;0.4173;0.5191,10;11;9;9;10
82,1,5912.4,0.3722,0.4338,0.1303,0.3697,8
83,4,4959.8,0.37,0.6712,0.129,0.4786;0.3441;0.6004;0.4668,10;8;11;10
84,1,5429.6,0.3733,0.6954,0.1277,0.5829,11
85,5,4898.7,0.3716,0.57,0.1264,0.3119;0.5232;0.4091;0.3215;0.6073,8;10;9;8;11
86,6,4208.1,0.3722,0.6556,0.1251,0.5844;0.5459;0.5277;0.4738;0.4216;0.5778,11;11;10;10;9;11
87,1,5546.1,0.3691,0.4689,0.1239,0.4070,9
88,5,4979.3,0.3733,0.596,0.1226,0.4458;0.4509;0.4427;0.4652;0.4432,9;9;9;10;9
89,1,5977.8,0.3691,0.4352,0.1214,0.3785,9
90,5,4813.3,0.3742,0.6009,0.1202,0.4610;0.4210;0.4922;0.4023;0.4761,10;9;10;9;10
91,5,5006.8,0.3737,0.6584,0.119,0.4713;0.5120;0.5593;0.4315;0.4998,10;10;11;9;10
92,3,5868.1,0.3694,0.5938,0.1178,0.4547;0.4327;0.5258,9;9;10
93,1,5654.5,0.3733,0.7149,0.1166,0.5991,11
